Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebVisitsMonth,Complain,Customer_Since_Days,Age,Children,Total_Spent,Total_Purchases,Campaigns_Accepted,Segment
Master,Divorced,10979.0,34,2,5,0,38,36,0,30,6,0,0
Master,Together,38620.0,56,1,3,0,414,62,0,318,10,0,0
Graduation,Together,40548.0,31,2,5,0,627,55,1,120,7,1,1
PhD,Divorced,46610.0,8,6,6,0,608,73,2,302,11,0,1
Master,Married,68657.0,4,1,7,0,494,79,0,1196,17,0,0
Master,Single,49389.0,55,1,7,0,304,74,2,65,5,0,0
PhD,Married,67353.0,37,5,2,0,180,55,1,913,23,0,2
2n Cycle,Married,23718.0,76,3,7,0,300,49,1,81,6,0,1
Graduation,Widow,42429.0,99,2,5,0,138,52,1,67,5,0,1
PhD,Divorced,48948.0,53,2,6,0,513,82,0,902,22,1,2
Graduation,Married,80011.0,3,2,4,0,426,45,1,1395,19,0,2
Master,Married,20559.0,88,2,8,0,474,40,1,53,5,0,0
Graduation,Together,21994.0,4,1,5,0,552,68,1,22,3,0,1
PhD,Single,51537.0,80,1,2,0,236,66,0,186,8,0,3
Master,Married,7500.0,19,3,5,0,270,50,1,31,5,0,0
Graduation,Single,79941.0,72,1,1,0,1,49,0,984,15,0,2
2n Cycle,Married,7500.0,24,3,9,0,597,29,0,122,7,0,1
Graduation,Together,41728.0,92,1,10,0,401,57,1,55,4,0,1
Graduation,Single,51537.0,96,3,6,0,179,74,3,124,7,0,3
PhD,Married,72550.0,39,9,8,0,598,71,2,1319,19,0,1
Graduation,Widow,65486.0,29,1,2,0,48,68,1,507,16,0,2
Master,Married,79143.0,2,1,3,0,687,61,0,1693,28,0,2
Graduation,Single,35790.0,54,2,7,0,543,48,1,72,5,0,3
Graduation,Divorced,82582.0,54,1,1,0,22,48,0,1617,20,2,2
Graduation,Married,66373.0,57,7,3,0,382,47,2,606,16,0,1
Master,Together,82384.0,55,1,1,0,587,70,0,1957,26,1,2
Graduation,Divorced,70287.0,30,1,3,0,453,59,0,1093,20,0,2
Graduation,Single,27938.0,31,1,3,0,62,37,1,29,5,0,3
Graduation,Single,51537.0,57,2,6,0,377,43,1,46,5,0,3
PhD,Married,55954.0,63,3,7,0,118,57,1,518,16,0,1
Master,Single,75777.0,12,1,1,0,360,43,0,1438,20,2,2
Graduation,Together,66653.0,18,4,3,0,660,50,2,612,18,0,1
Graduation,Single,61823.0,26,4,7,0,496,73,1,884,20,0,3
PhD,Widow,67680.0,8,1,5,0,383,74,1,606,18,0,2
Graduation,Together,70666.0,29,1,4,0,205,77,0,1076,15,0,2
Graduation,Married,25721.0,75,1,7,0,404,54,1,34,4,0,1
Graduation,Together,32474.0,0,1,7,0,49,58,2,11,3,0,1
2n Cycle,Single,88194.0,19,1,5,0,102,46,1,1274,31,2,2
Graduation,Together,69096.0,4,1,4,0,275,67,1,653,17,0,2
Graduation,Together,74854.0,90,7,5,0,447,55,3,1562,12,0,1
Master,Married,66991.0,1,3,3,0,656,71,0,1253,18,0,0
2n Cycle,Married,51537.0,25,3,8,0,653,52,1,109,6,0,1
Graduation,Married,65031.0,29,4,7,0,469,66,1,863,26,0,2
PhD,Married,60631.0,88,5,7,0,450,50,2,661,19,1,1
Graduation,Married,28332.0,58,1,2,0,60,73,0,65,7,0,1
Graduation,Divorced,40246.0,68,1,6,0,557,48,1,13,3,0,1
Master,Married,75251.0,34,1,5,0,671,53,0,1890,18,0,2
Graduation,Single,75825.0,40,0,4,0,625,49,0,2209,22,1,2
2n Cycle,Together,26326.0,12,1,3,1,298,49,0,18,3,0,1
Graduation,Together,56046.0,9,2,8,0,543,60,0,692,19,1,2
Graduation,Single,29760.0,87,4,8,0,669,40,1,165,8,0,3
Graduation,Married,26304.0,5,1,7,0,371,56,1,16,3,0,1
2n Cycle,Married,23559.0,87,3,7,0,361,52,1,79,6,0,1
Graduation,Divorced,81361.0,18,1,1,0,124,38,0,778,26,0,2
Graduation,Married,29440.0,95,2,7,0,322,65,2,56,5,0,1
Master,Married,36138.0,48,5,7,0,348,55,2,151,8,1,0
Graduation,Single,50388.0,3,4,7,0,32,68,1,372,13,2,3
Graduation,Married,79593.0,70,1,2,0,48,52,0,1366,18,1,2
Graduation,Together,54178.0,79,1,2,0,159,58,1,194,9,0,1
PhD,Married,51537.0,4,12,9,0,587,68,3,603,17,0,1
Graduation,Single,51537.0,45,1,7,0,33,68,2,18,3,0,3
Master,Together,51537.0,87,1,1,0,218,52,0,985,14,0,0
Master,Single,42394.0,69,1,7,0,98,53,1,32,4,0,0
PhD,Married,23626.0,84,3,5,0,36,55,1,43,7,0,1
Graduation,Married,30096.0,30,1,6,0,38,42,1,45,5,0,1
Graduation,Widow,47916.0,72,5,6,0,584,65,1,606,17,1,1
Graduation,Divorced,51813.0,37,2,7,0,444,53,2,63,5,0,1
2n Cycle,Married,78497.0,44,1,2,0,210,74,0,978,24,1,2
PhD,Married,50150.0,32,2,5,0,374,42,0,410,14,0,1
2n Cycle,Single,47823.0,0,2,8,0,341,65,1,72,5,0,3
PhD,Single,34554.0,43,2,6,0,91,66,1,55,5,0,3
Graduation,Together,85693.0,59,2,5,0,435,46,1,1169,25,0,2
PhD,Married,65846.0,68,1,4,0,408,80,0,1120,15,0,2
Graduation,Married,87195.0,35,1,1,0,52,66,0,1097,19,0,2
Basic,Together,24594.0,94,1,5,0,201,46,1,29,4,0,1
Graduation,Married,49096.0,15,4,7,0,278,61,2,187,9,0,1
Graduation,Married,52413.0,56,4,6,0,512,56,2,910,22,0,1
Graduation,Single,38557.0,17,2,7,0,557,47,1,145,7,0,3
Master,Married,89058.0,18,1,2,0,569,65,0,850,13,0,0
Graduation,Together,77298.0,46,1,3,0,239,46,1,969,23,0,2
PhD,Single,68126.0,40,1,9,0,596,34,0,1820,16,1,2
Master,Together,57288.0,27,3,6,0,4,62,1,608,17,1,0
Graduation,Single,86037.0,95,1,3,0,543,34,0,730,24,2,2
PhD,Married,43974.0,19,5,7,0,564,45,1,551,16,0,1
Graduation,Single,50785.0,27,2,6,0,292,63,2,114,6,0,3
Graduation,Married,90765.0,25,0,1,0,156,55,0,1724,15,2,2
2n Cycle,Married,36550.0,74,5,9,0,495,47,1,577,15,0,1
2n Cycle,Together,30753.0,85,2,5,0,353,58,2,81,5,0,1
Graduation,Together,21918.0,37,2,6,0,227,56,1,33,5,0,1
Master,Together,56129.0,65,4,4,0,374,72,1,660,18,0,0
Master,Single,32557.0,13,3,5,0,125,58,1,80,6,0,0
Master,Married,19510.0,63,2,7,0,298,40,2,30,4,0,0
Graduation,Divorced,30992.0,83,1,7,0,433,49,1,43,4,0,1
Graduation,Single,101970.0,69,0,2,0,474,42,0,1135,27,3,2
2n Cycle,Together,71488.0,87,2,1,0,496,60,0,559,14,0,2
Graduation,Single,79607.0,37,1,1,0,434,41,0,1923,15,0,2
Master,Married,54348.0,51,2,6,0,21,72,2,90,6,0,0
PhD,Married,51537.0,23,3,6,0,353,64,1,404,14,0,1
PhD,Together,77376.0,72,4,4,0,50,69,2,661,19,0,1
Graduation,Married,62998.0,10,5,5,0,272,73,1,463,14,0,1
Master,Other,61331.0,42,5,8,0,476,67,2,632,18,0,0
Graduation,Married,73448.0,10,1,4,0,139,56,0,725,18,0,2
Graduation,Married,51537.0,96,1,4,0,322,62,1,725,18,0,2
PhD,Married,41551.0,51,5,8,0,319,61,2,279,11,0,1
PhD,Together,62981.0,21,1,3,0,469,58,0,1482,22,1,2
Basic,Divorced,9548.0,31,2,8,0,690,49,1,29,4,0,1
PhD,Married,33762.0,61,3,8,0,357,66,3,106,6,0,1
PhD,Other,35860.0,37,2,5,0,41,52,2,49,4,1,1
PhD,Divorced,36921.0,74,2,7,0,336,60,2,38,5,0,1
Master,Single,92859.0,46,1,2,0,618,33,0,2077,21,0,2
Master,Together,65104.0,4,2,7,0,227,49,1,1053,15,0,0
Graduation,Married,86111.0,73,1,2,0,436,63,0,1385,22,0,2
PhD,Single,68352.0,47,3,6,0,305,51,1,871,22,0,3
Graduation,Together,41883.0,13,3,7,0,467,37,1,312,9,0,1
Graduation,Married,59809.0,36,3,8,0,619,49,2,877,12,0,1
Graduation,Married,23957.0,47,1,6,0,609,50,1,68,5,0,1
Graduation,Together,38547.0,49,1,8,1,305,44,1,22,3,0,1
2n Cycle,Married,35688.0,94,7,8,0,676,52,3,211,9,0,1
Master,Married,49605.0,65,1,3,0,8,59,0,127,7,0,0
Master,Married,59354.0,59,1,3,0,66,72,2,459,15,0,0
Graduation,Married,65747.0,96,4,6,0,114,56,1,460,15,1,1
2n Cycle,Together,46344.0,28,4,7,0,562,53,1,429,13,0,1
Graduation,Other,34176.0,12,4,6,0,48,37,1,89,7,0,1
PhD,Together,61010.0,57,2,5,0,628,73,1,1021,24,0,2
Graduation,Together,69372.0,10,1,4,0,495,76,0,1381,20,2,2
Graduation,Single,49967.0,4,3,7,0,356,67,1,306,12,0,3
Graduation,Single,60199.0,49,1,4,0,290,47,3,18,3,0,3
Graduation,Together,55375.0,3,1,2,0,255,48,1,162,8,0,1
Graduation,Single,80317.0,64,1,1,0,313,70,0,1231,17,0,2
Master,Single,30523.0,0,1,7,0,363,67,3,13,3,0,0
PhD,Married,70356.0,20,2,6,0,601,80,0,1706,25,0,2
Graduation,Married,23228.0,91,4,8,0,175,41,1,121,7,0,1
PhD,Divorced,74165.0,9,1,2,0,424,50,0,1293,19,0,2
PhD,Married,157243.0,98,15,0,0,120,52,1,1608,22,0,2
Graduation,Together,43482.0,83,3,6,0,228,59,3,88,6,0,1
Graduation,Divorced,62551.0,27,1,3,0,223,72,0,421,17,1,2
Graduation,Divorced,52332.0,63,1,4,0,305,66,0,259,11,1,2
Graduation,Single,66951.0,46,1,1,0,239,37,0,1117,14,0,2
Graduation,Together,26091.0,84,3,5,0,124,68,2,89,6,0,1
Graduation,Together,33456.0,58,2,7,0,69,60,2,36,4,0,1
Graduation,Married,28718.0,78,2,8,0,351,43,1,57,5,0,1
Graduation,Married,50447.0,4,1,6,0,69,55,2,148,7,0,1
PhD,Together,53537.0,17,2,5,0,150,66,2,93,6,0,1
Graduation,Single,52074.0,77,1,4,0,86,58,1,119,6,1,3
PhD,Married,80427.0,56,1,5,0,655,50,1,1835,27,0,2
PhD,Married,83837.0,79,1,4,0,560,77,0,1318,24,2,2
PhD,Married,38853.0,90,2,7,0,37,55,2,45,5,0,1
Graduation,Together,38285.0,96,1,2,0,5,66,3,10,3,0,1
PhD,Married,51650.0,81,1,5,0,49,49,1,191,9,0,1
2n Cycle,Married,16248.0,77,3,6,0,50,37,1,57,6,0,1
Master,Married,66835.0,21,1,2,0,274,79,0,1033,23,0,0
Master,Married,30477.0,16,1,6,0,158,41,1,66,5,0,0
Basic,Married,28249.0,80,1,6,0,14,64,0,43,5,0,1
Graduation,Married,25271.0,45,1,9,0,571,42,1,50,4,0,1
PhD,Single,32303.0,63,2,5,0,113,55,1,39,5,0,3
Graduation,Married,61286.0,34,2,5,0,331,59,1,608,16,0,1
Graduation,Married,74068.0,14,1,2,0,467,49,0,1581,23,0,2
PhD,Married,45759.0,13,2,7,0,491,61,2,68,5,0,1
Basic,Together,24882.0,52,1,6,0,658,47,1,80,4,1,1
PhD,Together,66973.0,98,1,3,0,408,36,0,1282,27,0,2
2n Cycle,Divorced,36640.0,99,1,5,1,276,125,1,65,5,0,1
Graduation,Married,38872.0,93,2,8,0,395,37,1,91,6,0,1
Graduation,Married,51148.0,38,4,6,0,496,52,2,315,12,0,1
Graduation,Married,31353.0,24,2,8,0,182,48,2,31,4,0,1
Master,Married,69661.0,80,1,3,0,47,45,0,834,22,0,0
Graduation,Married,80067.0,82,1,2,0,283,71,0,1600,16,1,2
Graduation,Married,86718.0,20,1,2,0,528,71,0,1270,16,0,2
PhD,Single,46854.0,81,6,8,0,90,52,2,263,9,1,3
Graduation,Divorced,69142.0,50,3,5,0,0,73,1,535,16,1,2
Graduation,Single,75922.0,60,1,1,0,202,57,0,1295,17,0,2
Graduation,Divorced,63693.0,63,3,6,0,258,47,1,1150,26,0,2
PhD,Together,102160.0,54,0,4,0,604,48,0,1240,26,3,2
PhD,Single,40637.0,72,2,7,0,347,60,2,38,4,0,3
Master,Single,18890.0,5,1,6,0,596,41,0,35,3,1,0
Graduation,Together,29604.0,88,1,9,0,203,37,1,53,4,1,1
Master,Divorced,48721.0,50,6,6,0,412,62,2,293,11,0,0
Graduation,Married,44794.0,99,1,6,0,21,59,1,65,5,0,1
Graduation,Divorced,64497.0,17,5,8,0,657,71,1,1804,24,1,2
Graduation,Together,46097.0,11,5,4,0,455,69,1,241,10,0,1
Graduation,Together,77972.0,18,1,1,0,103,71,0,1101,19,0,2
PhD,Married,44377.0,70,8,8,0,632,57,2,264,11,0,1
Master,Together,46014.0,21,10,7,0,524,51,2,541,16,0,0
Graduation,Married,70951.0,66,1,1,0,421,40,0,1198,16,0,2
Graduation,Married,41443.0,79,6,8,0,89,48,1,482,14,0,1
2n Cycle,Single,52195.0,2,1,8,0,48,47,3,17,3,0,3
Master,Married,83790.0,81,1,3,0,226,77,0,1615,24,2,2
Master,Widow,44551.0,24,2,7,0,302,71,1,285,10,0,0
Graduation,Together,69508.0,48,2,6,0,592,45,1,1135,26,0,2
2n Cycle,Together,45204.0,93,1,3,0,79,37,1,114,6,0,1
Graduation,Married,72460.0,56,1,1,0,227,56,0,1047,15,0,2
PhD,Together,77622.0,3,2,3,0,76,55,2,714,20,0,2
PhD,Married,30732.0,44,4,8,0,540,45,1,185,9,0,1
Graduation,Divorced,63887.0,38,5,6,0,659,63,1,1245,27,0,2
Graduation,Together,42011.0,46,4,8,0,460,47,1,189,8,0,1
Graduation,Together,51369.0,84,2,8,0,612,49,1,576,14,0,1
Graduation,Divorced,51537.0,27,3,8,0,567,73,1,1103,15,0,1
PhD,Married,79930.0,72,1,2,0,690,53,0,1753,16,0,2
PhD,Together,34320.0,66,1,8,0,133,39,1,17,3,0,1
Graduation,Single,37070.0,30,9,7,0,466,59,2,433,14,0,3
2n Cycle,Divorced,81975.0,2,1,7,0,540,63,1,1588,13,1,2
Graduation,Together,38590.0,65,1,8,0,410,54,1,22,3,0,1
Graduation,Single,15033.0,37,1,3,0,74,74,0,19,4,0,3
PhD,Married,62745.0,89,3,5,0,463,60,1,1117,26,0,2
2n Cycle,Married,22212.0,49,2,6,0,202,50,1,69,6,0,1
Master,Together,23661.0,46,1,7,0,207,43,1,23,4,0,0
PhD,Single,79761.0,32,1,3,0,268,67,1,605,18,0,2
Graduation,Single,7500.0,54,4,7,0,185,52,1,57,7,0,3
2n Cycle,Single,60182.0,23,1,4,0,43,132,1,22,3,0,3
Graduation,Widow,73455.0,98,1,3,0,244,57,0,2088,21,1,2
Graduation,Together,64961.0,97,2,3,0,553,67,1,1009,14,0,2
Graduation,Single,22804.0,75,1,9,0,333,54,1,26,4,0,3
Graduation,Married,73687.0,8,1,2,0,213,35,0,1627,21,1,2
Graduation,Married,61074.0,37,7,7,0,681,67,1,1102,24,0,2
PhD,Married,31686.0,31,2,6,0,24,61,2,17,4,0,1
Graduation,Married,80134.0,40,2,6,0,405,53,1,1690,14,3,2
Graduation,Married,75027.0,74,2,5,0,536,72,1,1390,19,0,2
PhD,Married,67546.0,90,1,3,0,667,37,0,2126,19,0,2
Master,Together,65176.0,57,4,6,0,608,56,1,1531,21,0,0
Master,Single,31160.0,59,2,8,0,286,50,1,64,5,0,0
Graduation,Single,29938.0,52,2,6,0,245,40,1,26,4,0,3
Graduation,Divorced,102692.0,5,1,2,0,450,51,0,1112,28,4,2
2n Cycle,Together,26490.0,92,2,6,0,645,67,0,210,9,0,1
Graduation,Together,75702.0,77,5,8,0,669,58,2,1148,21,0,1
PhD,Single,30899.0,35,2,6,0,624,51,1,33,4,0,3
PhD,Together,63342.0,48,3,6,0,621,64,1,1101,16,1,2
Graduation,Single,45989.0,97,4,3,0,615,61,1,322,12,0,3
Graduation,Single,18701.0,95,4,5,0,390,61,2,44,6,0,3
PhD,Single,40737.0,24,1,8,0,203,68,3,17,3,0,3
Graduation,Divorced,15287.0,60,2,7,0,627,46,1,31,4,1,1
PhD,Divorced,69674.0,46,3,5,0,403,57,2,845,22,0,2
Master,Married,44159.0,85,4,5,0,12,55,1,275,11,0,0
PhD,Married,37717.0,31,1,9,0,583,47,1,25,3,0,1
Master,Together,43776.0,9,6,8,0,511,73,2,275,11,0,0
Master,Married,38179.0,30,4,7,0,472,59,2,90,7,0,0
Graduation,Married,80124.0,47,1,1,0,3,62,0,1495,18,1,2
PhD,Married,38097.0,70,4,7,0,622,55,2,184,7,1,1
Graduation,Married,72940.0,13,1,1,0,375,55,0,981,12,0,2
Graduation,Together,22070.0,11,2,6,0,268,55,1,67,6,0,1
Graduation,Single,69267.0,31,2,7,0,645,72,0,1635,12,0,2
Master,Single,31788.0,15,3,5,1,101,42,1,60,7,0,3
PhD,Together,61905.0,2,2,5,0,145,50,1,231,10,0,1
Graduation,Married,29315.0,55,4,6,0,84,65,2,48,6,0,1
Graduation,Divorced,33378.0,38,3,7,0,508,62,2,99,6,0,1
PhD,Together,66313.0,86,2,4,0,286,62,1,770,21,0,2
Graduation,Single,60714.0,56,2,5,0,528,69,0,957,21,0,2
Master,Together,77882.0,29,1,1,0,60,44,0,818,11,0,0
PhD,Single,69867.0,30,1,1,0,453,39,0,925,16,1,2
Master,Divorced,63841.0,64,1,6,0,434,57,1,908,21,0,0
Basic,Married,24480.0,46,3,7,0,503,44,1,102,7,0,1
PhD,Together,65640.0,74,1,2,0,120,51,1,461,14,0,2
Master,Married,44319.0,18,2,5,0,73,50,2,37,5,0,0
Graduation,Married,30631.0,75,1,7,0,352,51,1,70,6,0,1
Graduation,Together,75278.0,17,1,3,0,516,73,0,930,22,0,2
Master,Together,50898.0,88,13,5,0,537,69,2,859,20,0,0
Graduation,Widow,79946.0,19,1,3,0,48,59,0,1478,21,0,2
Master,Divorced,35416.0,62,3,8,0,381,76,0,390,13,0,0
2n Cycle,Together,32414.0,11,1,7,0,360,41,0,52,4,1,1
Graduation,Together,38361.0,74,3,7,0,184,56,1,137,7,0,1
Graduation,Married,82497.0,32,1,4,0,606,45,0,1919,18,1,2
Graduation,Together,16626.0,76,3,9,0,165,54,2,68,6,0,1
Graduation,Together,29672.0,6,1,6,0,474,60,2,25,3,0,1
Master,Together,55951.0,62,3,8,0,675,73,1,1374,20,2,0
2n Cycle,Divorced,35388.0,20,1,7,0,479,37,1,32,4,0,1
Master,Together,42386.0,43,1,8,0,532,39,1,100,6,0,0
Graduation,Single,68627.0,45,1,1,0,533,43,0,825,11,0,3
PhD,Divorced,57912.0,34,5,5,0,104,60,1,916,23,1,2
Graduation,Divorced,35246.0,53,4,5,0,74,67,2,62,7,0,1
2n Cycle,Together,58821.0,44,1,6,0,260,69,1,728,20,0,2
PhD,Married,46377.0,89,1,4,0,120,47,1,90,6,0,1
Graduation,Single,39747.0,43,3,8,0,77,37,1,273,10,0,3
Graduation,Together,23976.0,68,3,7,0,184,41,1,66,7,0,1
Master,Married,80950.0,44,1,2,0,458,64,0,1213,22,1,2
Graduation,Widow,27038.0,64,1,9,0,649,59,0,107,6,0,1
Graduation,Single,77457.0,85,1,1,0,116,78,0,1157,17,1,2
Master,Married,64100.0,93,1,7,0,292,61,1,546,17,1,0
Master,Together,42670.0,12,1,4,0,428,33,0,241,10,0,0
Graduation,Divorced,12571.0,86,4,6,0,162,49,1,53,7,0,1
Graduation,Married,22574.0,28,2,7,0,244,58,3,37,5,0,1
Graduation,Married,51537.0,69,1,3,0,391,36,0,1611,23,2,2
Master,Single,70893.0,42,1,3,0,508,49,0,1508,22,0,2
Graduation,Married,54198.0,13,6,4,0,194,59,2,235,10,0,1
Master,Together,28839.0,86,2,5,0,110,69,2,32,5,0,0
Graduation,Married,40321.0,59,2,7,0,335,53,2,102,6,0,1
Graduation,Single,66503.0,30,2,3,0,684,40,1,401,13,0,3
Graduation,Married,30833.0,33,2,5,0,348,74,2,28,4,0,1
Graduation,Single,51537.0,67,6,7,0,310,55,3,1052,15,2,3
Graduation,Married,64795.0,23,3,2,0,528,54,1,680,18,0,2
Graduation,Married,34421.0,81,1,7,0,363,51,1,30,3,0,1
PhD,Divorced,47025.0,6,1,7,0,140,60,2,20,3,0,1
PhD,Divorced,64325.0,41,5,7,0,507,64,1,1307,18,0,2
Graduation,Single,40464.0,78,6,8,0,534,72,1,630,18,0,3
Graduation,Married,62187.0,49,1,3,0,359,68,0,1283,17,0,2
PhD,Divorced,14849.0,39,3,8,0,362,49,1,65,6,0,1
Graduation,Married,27255.0,3,1,7,0,234,41,1,37,4,0,1
PhD,Married,54432.0,37,1,4,0,416,75,3,38,4,0,1
PhD,Single,29999.0,22,4,8,0,501,39,1,160,8,0,3
Graduation,Single,24072.0,79,1,8,0,439,42,1,23,3,0,3
PhD,Single,33996.0,46,1,4,0,291,36,0,71,5,0,3
PhD,Married,66334.0,82,2,5,0,452,69,1,1161,17,0,2
Master,Married,35178.0,10,1,7,0,535,54,1,59,4,1,0
Graduation,Together,22010.0,51,2,8,0,364,42,1,33,5,0,1
Graduation,Divorced,62204.0,38,1,3,0,655,65,2,946,21,0,2
Graduation,Divorced,75693.0,10,1,4,0,570,57,0,1442,21,3,2
Graduation,Married,30675.0,14,1,8,0,594,53,1,62,4,0,1
Graduation,Together,83003.0,18,1,3,0,483,60,0,1674,21,1,2
PhD,Together,83532.0,36,1,1,0,276,126,0,1853,14,1,2
Graduation,Single,68655.0,95,1,3,0,688,37,0,1538,20,0,2
Graduation,Divorced,41411.0,11,1,6,0,204,39,0,139,7,0,1
PhD,Married,55212.0,65,3,8,0,583,56,1,1182,17,2,2
PhD,Together,59292.0,71,2,3,0,381,75,1,507,16,0,2
Basic,Together,27190.0,13,1,8,0,318,52,1,18,3,1,1
Graduation,Divorced,82623.0,58,1,1,0,231,73,0,940,15,0,2
Graduation,Married,44300.0,65,2,6,0,371,60,2,42,4,0,1
Graduation,Divorced,84835.0,0,1,1,0,13,55,0,1190,14,0,2
Graduation,Widow,30372.0,33,3,7,0,551,54,2,44,5,0,1
Master,Married,33181.0,90,1,6,0,177,49,1,16,3,1,0
Graduation,Married,71113.0,95,4,4,0,194,68,1,835,22,0,2
Graduation,Married,71952.0,93,2,4,0,535,39,1,1443,20,2,2
PhD,Single,69759.0,38,3,3,0,244,59,0,1029,15,0,2
Graduation,Married,72099.0,18,1,1,0,610,51,0,1188,17,0,2
PhD,Single,60000.0,57,5,6,0,554,49,1,1277,19,0,3
Graduation,Single,38643.0,45,2,7,1,212,47,2,49,5,0,3
Graduation,Married,50737.0,61,1,6,0,414,70,1,99,6,1,1
PhD,Married,68462.0,6,1,1,0,564,56,0,1670,14,0,2
Master,Married,65073.0,65,1,2,1,313,82,0,900,13,0,0
PhD,Together,46681.0,52,2,5,0,264,77,2,425,14,0,1
Graduation,Married,78618.0,87,1,2,0,639,68,0,2153,21,1,2
PhD,Widow,62187.0,38,3,4,0,99,56,1,636,18,0,2
Graduation,Married,28442.0,53,3,4,0,125,47,2,57,7,0,1
Graduation,Married,51479.0,67,7,7,0,548,58,2,494,15,0,1
Graduation,Single,54803.0,65,2,4,0,677,56,1,693,17,0,3
Graduation,Married,79530.0,64,1,2,0,408,65,0,1348,25,0,2
Graduation,Divorced,31615.0,82,2,7,0,470,49,1,51,5,0,1
Graduation,Together,72025.0,27,1,3,0,589,63,0,1932,15,0,2
PhD,Single,52614.0,63,2,8,0,575,50,1,990,14,0,3
2n Cycle,Married,35684.0,66,1,6,0,68,41,1,30,4,0,1
Graduation,Married,48178.0,69,6,8,0,609,50,2,254,10,0,1
Master,Single,29548.0,52,1,4,0,304,55,1,29,4,1,0
Graduation,Single,63810.0,45,4,8,0,595,59,1,1371,19,1,3
PhD,Single,38578.0,2,3,8,0,372,53,2,73,6,0,3
Master,Single,46098.0,86,4,8,0,680,50,2,120,7,0,0
Graduation,Single,22585.0,23,1,9,0,468,55,0,81,4,1,3
Graduation,Single,30279.0,13,1,8,0,546,36,1,37,4,0,3
PhD,Together,66426.0,14,2,6,0,270,64,1,1377,18,0,2
Graduation,Single,30822.0,92,1,7,0,380,56,1,51,4,0,3
PhD,Married,33581.0,38,1,8,0,537,56,2,17,3,0,1
Graduation,Married,19986.0,74,1,7,0,227,40,1,22,3,0,1
Graduation,Widow,27421.0,14,3,7,0,564,71,0,324,11,0,1
Master,Single,36143.0,33,1,3,0,91,44,1,19,3,0,0
Graduation,Single,10245.0,32,3,5,0,410,54,1,41,5,0,3
Master,Together,43795.0,11,3,7,0,256,57,1,492,14,1,0
Graduation,Together,63381.0,78,4,2,0,632,65,1,1005,22,0,2
Graduation,Together,38823.0,56,1,6,0,668,76,1,114,6,0,1
PhD,Divorced,83664.0,57,3,5,0,417,57,2,1173,16,0,2
Graduation,Together,90300.0,7,0,1,0,177,46,0,1738,19,1,2
Master,Together,62499.0,0,2,4,0,202,46,1,222,10,0,0
Graduation,Single,74293.0,66,1,2,0,56,32,0,1127,15,0,2
PhD,Married,51012.0,86,1,6,0,437,79,0,209,9,0,1
Master,Married,70777.0,80,3,3,0,124,57,1,787,20,0,0
PhD,Together,68682.0,56,1,2,0,266,34,0,1598,23,0,2
Graduation,Married,43824.0,18,4,8,0,652,54,2,186,8,0,1
Graduation,Together,15345.0,51,2,8,0,667,41,1,47,4,0,1
Graduation,Single,23442.0,71,1,7,0,552,38,1,27,4,0,3
